Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2009/10/27,7:30p,Boston Celtics,95.0,Cleveland Cavaliers,89.0,,"20,562",Quicken Loans Arena,Tuesday
2009/10/27,8:30p,Washington Wizards,102.0,Dallas Mavericks,91.0,,"19,871",American Airlines Center,Tuesday
2009/10/27,10:00p,Houston Rockets,87.0,Portland Trail Blazers,96.0,,"20,403",Rose Garden Arena,Tuesday
2009/10/27,10:30p,Los Angeles Clippers,92.0,Los Angeles Lakers,99.0,,"18,997",STAPLES Center,Tuesday
2009/10/28,7:00p,Indiana Pacers,109.0,Atlanta Hawks,120.0,,"17,998",Philips Arena,Wednesday
2009/10/28,7:00p,Cleveland Cavaliers,91.0,Toronto Raptors,101.0,,"20,152",Air Canada Centre,Wednesday
2009/10/28,7:00p,Philadelphia 76ers,106.0,Orlando Magic,120.0,,"17,461",Amway Arena,Wednesday
2009/10/28,7:30p,Charlotte Bobcats,59.0,Boston Celtics,92.0,,"18,624",TD Garden,Wednesday
2009/10/28,7:30p,New York Knicks,93.0,Miami Heat,115.0,,"19,600",AmericanAirlines Arena,Wednesday
2009/10/28,8:00p,Sacramento Kings,89.0,Oklahoma City Thunder,102.0,,"18,203",Oklahoma City Arena,Wednesday
2009/10/28,8:00p,New Orleans Hornets,96.0,San Antonio Spurs,113.0,,"18,581",AT&T Center,Wednesday
2009/10/28,8:00p,New Jersey Nets,93.0,Minnesota Timberwolves,95.0,,"18,358",Target Center,Wednesday
2009/10/28,8:00p,Detroit Pistons,96.0,Memphis Grizzlies,74.0,,"17,212",FedEx Forum,Wednesday
2009/10/28,10:30p,Phoenix Suns,109.0,Los Angeles Clippers,107.0,,"15,974",STAPLES Center,Wednesday
2009/10/28,10:30p,Houston Rockets,108.0,Golden State Warriors,107.0,,"19,596",Oracle Arena,Wednesday
2009/10/28,10:30p,Utah Jazz,105.0,Denver Nuggets,114.0,,"19,155",Pepsi Center,Wednesday
2009/10/29,8:00p,San Antonio Spurs,85.0,Chicago Bulls,92.0,,"21,412",United Center,Thursday
2009/10/29,10:30p,Denver Nuggets,97.0,Portland Trail Blazers,94.0,,"20,218",Rose Garden Arena,Thursday
2009/10/30,7:00p,New York Knicks,100.0,Charlotte Bobcats,102.0,2OT,"18,624",Time Warner Cable Arena,Friday
2009/10/30,7:00p,Milwaukee Bucks,86.0,Philadelphia 76ers,99.0,,"14,638",Wachovia Center,Friday
2009/10/30,7:30p,Washington Wizards,89.0,Atlanta Hawks,100.0,,"17,079",Philips Arena,Friday
2009/10/30,8:00p,Chicago Bulls,90.0,Boston Celtics,118.0,,"18,624",TD Garden,Friday
2009/10/30,8:00p,Sacramento Kings,92.0,New Orleans Hornets,97.0,,"17,306",New Orleans Arena,Friday
2009/10/30,8:00p,Orlando Magic,95.0,New Jersey Nets,85.0,,"17,525",Izod Center,Friday
2009/10/30,8:00p,Cleveland Cavaliers,104.0,Minnesota Timberwolves,87.0,,"19,356",Target Center,Friday
2009/10/30,8:00p,Toronto Raptors,107.0,Memphis Grizzlies,115.0,,"10,563",FedEx Forum,Friday
2009/10/30,8:00p,Miami Heat,96.0,Indiana Pacers,83.0,,"18,165",Conseco Fieldhouse,Friday
2009/10/30,8:00p,Oklahoma City Thunder,91.0,Detroit Pistons,83.0,,"22,076",The Palace of Auburn Hills,Friday
2009/10/30,9:00p,Los Angeles Clippers,98.0,Utah Jazz,111.0,,"19,911",EnergySolutions Arena,Friday
2009/10/30,10:00p,Golden State Warriors,101.0,Phoenix Suns,123.0,,"18,422",US Airways Center,Friday
2009/10/30,10:30p,Dallas Mavericks,94.0,Los Angeles Lakers,80.0,,"18,997",STAPLES Center,Friday
2009/10/31,7:00p,New Jersey Nets,104.0,Washington Wizards,123.0,,"20,173",Verizon Center,Saturday
2009/10/31,7:30p,Charlotte Bobcats,79.0,Cleveland Cavaliers,90.0,,"20,562",Quicken Loans Arena,Saturday
2009/10/31,7:30p,Philadelphia 76ers,141.0,New York Knicks,127.0,OT,"19,763",Madison Square Garden (IV),Saturday
2009/10/31,8:30p,Portland Trail Blazers,107.0,Houston Rockets,111.0,,"18,100",Toyota Center,Saturday
2009/10/31,8:30p,Detroit Pistons,85.0,Milwaukee Bucks,96.0,,"15,095",Bradley Center,Saturday
2009/10/31,8:30p,Sacramento Kings,94.0,San Antonio Spurs,113.0,,"16,966",AT&T Center,Saturday
2009/10/31,10:30p,Dallas Mavericks,93.0,Los Angeles Clippers,84.0,,"13,626",STAPLES Center,Saturday
2009/11/01,1:00p,Orlando Magic,125.0,Toronto Raptors,116.0,,"18,147",Air Canada Centre,Sunday
2009/11/01,6:00p,New Orleans Hornets,87.0,Boston Celtics,97.0,,"18,624",TD Garden,Sunday
2009/11/01,6:00p,Chicago Bulls,87.0,Miami Heat,95.0,,"15,865",AmericanAirlines Arena,Sunday
2009/11/01,7:00p,Portland Trail Blazers,83.0,Oklahoma City Thunder,74.0,,"16,920",Oklahoma City Arena,Sunday
2009/11/01,8:00p,Memphis Grizzlies,123.0,Denver Nuggets,133.0,,"15,823",Pepsi Center,Sunday
2009/11/01,8:00p,Minnesota Timberwolves,112.0,Phoenix Suns,120.0,,"15,376",US Airways Center,Sunday
2009/11/01,9:30p,Atlanta Hawks,110.0,Los Angeles Lakers,118.0,,"18,997",STAPLES Center,Sunday
2009/11/02,7:00p,New Jersey Nets,68.0,Charlotte Bobcats,79.0,,"9,380",Time Warner Cable Arena,Monday
2009/11/02,7:30p,New Orleans Hornets,111.0,New York Knicks,117.0,,"19,763",Madison Square Garden (IV),Monday
2009/11/02,9:00p,Houston Rockets,113.0,Utah Jazz,96.0,,"19,911",EnergySolutions Arena,Monday
2009/11/02,10:00p,Memphis Grizzlies,116.0,Sacramento Kings,127.0,OT,"17,317",Power Balance Pavilion,Monday
2009/11/02,10:30p,Minnesota Timberwolves,90.0,Los Angeles Clippers,93.0,,"13,614",STAPLES Center,Monday
2009/11/03,7:00p,Washington Wizards,90.0,Cleveland Cavaliers,102.0,,"20,562",Quicken Loans Arena,Tuesday
2009/11/03,7:00p,Denver Nuggets,111.0,Indiana Pacers,93.0,,"10,627",Conseco Fieldhouse,Tuesday
2009/11/03,7:00p,Boston Celtics,105.0,Philadelphia 76ers,74.0,,"11,251",Wachovia Center,Tuesday
2009/11/03,7:30p,Orlando Magic,80.0,Detroit Pistons,85.0,,"15,487",The Palace of Auburn Hills,Tuesday
2009/11/03,7:30p,Phoenix Suns,104.0,Miami Heat,96.0,,"15,105",AmericanAirlines Arena,Tuesday
2009/11/03,8:00p,Milwaukee Bucks,81.0,Chicago Bulls,83.0,,"19,789",United Center,Tuesday
2009/11/03,8:00p,Los Angeles Lakers,101.0,Oklahoma City Thunder,98.0,OT,"18,203",Oklahoma City Arena,Tuesday
2009/11/03,8:30p,Utah Jazz,85.0,Dallas Mavericks,96.0,,"19,725",American Airlines Center,Tuesday
2009/11/03,10:00p,Atlanta Hawks,97.0,Portland Trail Blazers,91.0,,"20,325",Rose Garden Arena,Tuesday
2009/11/04,7:00p,Phoenix Suns,100.0,Orlando Magic,122.0,,"17,461",Amway Arena,Wednesday
2009/11/04,7:00p,Detroit Pistons,99.0,Toronto Raptors,110.0,,"17,915",Air Canada Centre,Wednesday
2009/11/04,7:00p,Miami Heat,93.0,Washington Wizards,89.0,,"17,413",Verizon Center,Wednesday
2009/11/04,7:30p,Denver Nuggets,122.0,New Jersey Nets,94.0,,"15,319",Izod Center,Wednesday
2009/11/04,7:30p,Indiana Pacers,101.0,New York Knicks,89.0,,"19,273",Madison Square Garden (IV),Wednesday
2009/11/04,8:00p,Boston Celtics,92.0,Minnesota Timberwolves,90.0,,"19,133",Target Center,Wednesday
2009/11/04,8:30p,Los Angeles Lakers,103.0,Houston Rockets,102.0,OT,"18,291",Toyota Center,Wednesday
2009/11/04,9:30p,Dallas Mavericks,107.0,New Orleans Hornets,114.0,OT,"13,566",New Orleans Arena,Wednesday
2009/11/04,10:00p,Atlanta Hawks,113.0,Sacramento Kings,105.0,,"11,751",Power Balance Pavilion,Wednesday
2009/11/04,10:30p,Memphis Grizzlies,105.0,Golden State Warriors,113.0,,"17,457",Oracle Arena,Wednesday
2009/11/05,8:00p,Chicago Bulls,86.0,Cleveland Cavaliers,85.0,,"20,562",Quicken Loans Arena,Thursday
2009/11/05,10:30p,San Antonio Spurs,99.0,Utah Jazz,113.0,,"19,797",EnergySolutions Arena,Thursday
2009/11/06,7:00p,Atlanta Hawks,83.0,Charlotte Bobcats,103.0,,"15,874",Time Warner Cable Arena,Friday
2009/11/06,7:00p,Washington Wizards,86.0,Indiana Pacers,102.0,,"14,556",Conseco Fieldhouse,Friday
2009/11/06,7:00p,Detroit Pistons,103.0,Orlando Magic,110.0,,"17,461",Amway Arena,Friday
2009/11/06,7:00p,New Jersey Nets,94.0,Philadelphia 76ers,97.0,,"10,054",Wachovia Center,Friday
2009/11/06,7:30p,Phoenix Suns,110.0,Boston Celtics,103.0,,"18,624",TD Garden,Friday
2009/11/06,7:30p,Denver Nuggets,88.0,Miami Heat,96.0,,"19,600",AmericanAirlines Arena,Friday
2009/11/06,8:00p,Milwaukee Bucks,87.0,Minnesota Timberwolves,72.0,,"13,758",Target Center,Friday
2009/11/06,8:00p,Toronto Raptors,107.0,New Orleans Hornets,90.0,,"15,010",New Orleans Arena,Friday
2009/11/06,8:00p,Cleveland Cavaliers,100.0,New York Knicks,91.0,,"19,763",Madison Square Garden (IV),Friday
2009/11/06,8:30p,Oklahoma City Thunder,94.0,Houston Rockets,105.0,,"14,911",Toyota Center,Friday
2009/11/06,10:30p,Los Angeles Clippers,118.0,Golden State Warriors,90.0,,"18,788",Oracle Arena,Friday
2009/11/06,10:30p,Memphis Grizzlies,98.0,Los Angeles Lakers,114.0,,"18,997",STAPLES Center,Friday
2009/11/06,10:30p,San Antonio Spurs,84.0,Portland Trail Blazers,96.0,,"20,498",Rose Garden Arena,Friday
2009/11/07,7:00p,Denver Nuggets,100.0,Atlanta Hawks,125.0,,"17,801",Philips Arena,Saturday
2009/11/07,7:30p,Boston Celtics,86.0,New Jersey Nets,76.0,,"16,119",Izod Center,Saturday
2009/11/07,8:00p,Charlotte Bobcats,90.0,Chicago Bulls,93.0,,"21,108",United Center,Saturday
2009/11/07,8:30p,Toronto Raptors,101.0,Dallas Mavericks,129.0,,"19,977",American Airlines Center,Saturday
2009/11/07,8:30p,New York Knicks,87.0,Milwaukee Bucks,102.0,,"15,486",Bradley Center,Saturday
2009/11/07,9:00p,Sacramento Kings,104.0,Utah Jazz,99.0,,"18,825",EnergySolutions Arena,Saturday
2009/11/07,10:30p,Memphis Grizzlies,110.0,Los Angeles Clippers,113.0,,"15,399",STAPLES Center,Saturday
2009/11/08,1:00p,Philadelphia 76ers,81.0,Detroit Pistons,88.0,,"17,187",The Palace of Auburn Hills,Sunday
2009/11/08,1:00p,Phoenix Suns,102.0,Washington Wizards,90.0,,"14,143",Verizon Center,Sunday
2009/11/08,7:00p,Orlando Magic,74.0,Oklahoma City Thunder,102.0,,"18,203",Oklahoma City Arena,Sunday
2009/11/08,9:00p,Minnesota Timberwolves,93.0,Portland Trail Blazers,116.0,,"20,306",Rose Garden Arena,Sunday
2009/11/08,9:00p,Golden State Warriors,107.0,Sacramento Kings,120.0,,"10,760",Power Balance Pavilion,Sunday
2009/11/08,9:30p,New Orleans Hornets,88.0,Los Angeles Lakers,104.0,,"18,997",STAPLES Center,Sunday
2009/11/09,7:00p,Phoenix Suns,119.0,Philadelphia 76ers,115.0,,"10,205",Wachovia Center,Monday
2009/11/09,7:30p,Utah Jazz,95.0,New York Knicks,93.0,,"19,355",Madison Square Garden (IV),Monday
2009/11/09,8:30p,Toronto Raptors,124.0,San Antonio Spurs,131.0,,"17,714",AT&T Center,Monday
2009/11/09,10:30p,Minnesota Timberwolves,105.0,Golden State Warriors,146.0,,"15,468",Oracle Arena,Monday
2009/11/09,10:30p,New Orleans Hornets,112.0,Los Angeles Clippers,84.0,,"14,760",STAPLES Center,Monday
2009/11/10,7:00p,Orlando Magic,93.0,Charlotte Bobcats,81.0,,"13,415",Time Warner Cable Arena,Tuesday
2009/11/10,7:30p,Washington Wizards,76.0,Miami Heat,90.0,,"15,054",AmericanAirlines Arena,Tuesday
2009/11/10,8:00p,Denver Nuggets,90.0,Chicago Bulls,89.0,,"21,409",United Center,Tuesday
2009/11/10,8:00p,Portland Trail Blazers,93.0,Memphis Grizzlies,79.0,,"10,589",FedEx Forum,Tuesday
2009/11/10,8:30p,Houston Rockets,103.0,Dallas Mavericks,121.0,,"19,720",American Airlines Center,Tuesday
2009/11/10,10:00p,Oklahoma City Thunder,98.0,Sacramento Kings,101.0,,"10,523",Power Balance Pavilion,Tuesday
2009/11/11,7:00p,Golden State Warriors,94.0,Indiana Pacers,108.0,,"10,682",Conseco Fieldhouse,Wednesday
2009/11/11,7:00p,Chicago Bulls,89.0,Toronto Raptors,99.0,,"16,310",Air Canada Centre,Wednesday
2009/11/11,7:30p,Utah Jazz,86.0,Boston Celtics,105.0,,"18,624",TD Garden,Wednesday
2009/11/11,7:30p,Charlotte Bobcats,75.0,Detroit Pistons,98.0,,"15,417",The Palace of Auburn Hills,Wednesday
2009/11/11,7:30p,Philadelphia 76ers,82.0,New Jersey Nets,79.0,,"10,714",Izod Center,Wednesday
2009/11/11,7:30p,Atlanta Hawks,114.0,New York Knicks,101.0,,"19,699",Madison Square Garden (IV),Wednesday
2009/11/11,8:00p,Denver Nuggets,102.0,Milwaukee Bucks,108.0,,"12,987",Bradley Center,Wednesday
2009/11/11,8:00p,Portland Trail Blazers,107.0,Minnesota Timberwolves,84.0,,"13,555",Target Center,Wednesday
2009/11/11,8:00p,Cleveland Cavaliers,102.0,Orlando Magic,93.0,,"17,461",Amway Arena,Wednesday
2009/11/11,8:30p,Memphis Grizzlies,79.0,Houston Rockets,104.0,,"17,220",Toyota Center,Wednesday
2009/11/11,8:30p,Dallas Mavericks,83.0,San Antonio Spurs,92.0,,"18,581",AT&T Center,Wednesday
2009/11/11,10:30p,Oklahoma City Thunder,83.0,Los Angeles Clippers,79.0,,"14,248",STAPLES Center,Wednesday
2009/11/11,10:30p,New Orleans Hornets,104.0,Phoenix Suns,124.0,,"16,517",US Airways Center,Wednesday
2009/11/12,8:00p,Cleveland Cavaliers,111.0,Miami Heat,104.0,,"19,600",AmericanAirlines Arena,Thursday
2009/11/12,10:30p,Phoenix Suns,102.0,Los Angeles Lakers,121.0,,"18,997",STAPLES Center,Thursday
2009/11/13,7:00p,New Jersey Nets,72.0,Orlando Magic,88.0,,"17,461",Amway Arena,Friday
2009/11/13,7:00p,Utah Jazz,112.0,Philadelphia 76ers,90.0,,"10,738",Wachovia Center,Friday
2009/11/13,7:30p,Golden State Warriors,121.0,New York Knicks,107.0,,"19,763",Madison Square Garden (IV),Friday
2009/11/13,8:00p,Atlanta Hawks,97.0,Boston Celtics,86.0,,"18,624",TD Garden,Friday
2009/11/13,8:00p,Dallas Mavericks,89.0,Minnesota Timberwolves,77.0,,"12,372",Target Center,Friday
2009/11/13,8:00p,Portland Trail Blazers,86.0,New Orleans Hornets,78.0,,"14,742",New Orleans Arena,Friday
2009/11/13,10:00p,Houston Rockets,100.0,Sacramento Kings,109.0,,"11,762",Power Balance Pavilion,Friday
2009/11/13,10:30p,Los Angeles Lakers,79.0,Denver Nuggets,105.0,,"19,141",Pepsi Center,Friday
2009/11/13,10:30p,Toronto Raptors,104.0,Los Angeles Clippers,89.0,,"15,615",STAPLES Center,Friday
2009/11/14,7:00p,New Orleans Hornets,98.0,Atlanta Hawks,121.0,,"18,572",Philips Arena,Saturday
2009/11/14,7:00p,Portland Trail Blazers,80.0,Charlotte Bobcats,74.0,,"15,872",Time Warner Cable Arena,Saturday
2009/11/14,7:00p,Boston Celtics,104.0,Indiana Pacers,113.0,,"18,165",Conseco Fieldhouse,Saturday
2009/11/14,7:00p,Detroit Pistons,106.0,Washington Wizards,103.0,,"20,173",Verizon Center,Saturday
2009/11/14,7:30p,Utah Jazz,103.0,Cleveland Cavaliers,107.0,,"20,562",Quicken Loans Arena,Saturday
2009/11/14,7:30p,New Jersey Nets,80.0,Miami Heat,81.0,,"17,124",AmericanAirlines Arena,Saturday
2009/11/14,8:00p,Philadelphia 76ers,88.0,Chicago Bulls,94.0,,"21,837",United Center,Saturday
